##
## Created by M. Vincenzi on Dec 2021
## PDF for SALT2x1, SALTc as a function of Mass

VARNAMES: SALT2x1 LOGMASS PROB
PDF: 3.600 9.40 0.000
PDF: 3.700 9.40 0.000
PDF: 3.800 9.40 0.000
PDF: 3.900 9.40 0.000
PDF: 4.000 9.40 0.000
PDF: 4.100 9.40 0.000
PDF: 4.200 9.40 0.000
PDF: 4.300 9.40 0.000
PDF: 4.400 9.40 0.000
PDF: 4.500 9.40 0.000
PDF: 4.600 9.40 0.000
PDF: 4.700 9.40 0.000
PDF: 4.800 9.40 0.000
PDF: 4.900 9.40 0.000
PDF: -5.000 9.60 0.000
PDF: -4.900 9.60 0.000
PDF: -4.800 9.60 0.000
PDF: -4.700 9.60 0.000
PDF: -4.600 9.60 0.000
PDF: -4.500 9.60 0.000
PDF: -4.400 9.60 0.000
PDF: -4.300 9.60 0.000
PDF: -4.200 9.60 0.000
PDF: -4.100 9.60 0.000
PDF: -4.000 9.60 0.000
PDF: -3.900 9.60 0.000
PDF: -3.800 9.60 0.000
PDF: -3.700 9.60 0.000
PDF: -3.600 9.60 0.000
PDF: -3.500 9.60 0.000
PDF: -3.400 9.60 0.000
PDF: -3.300 9.60 0.000
PDF: -3.200 9.60 0.000
PDF: -3.100 9.60 0.000
PDF: -3.000 9.60 0.000
PDF: -2.900 9.60 0.000
PDF: -2.800 9.60 0.000
PDF: -2.700 9.60 0.000
PDF: -2.600 9.60 0.000
PDF: -2.500 9.60 0.000
PDF: -2.400 9.60 0.000
PDF: -2.300 9.60 0.000
PDF: -2.200 9.60 0.000
PDF: -2.100 9.60 0.000
PDF: -2.000 9.60 0.000
PDF: -1.900 9.60 0.000
PDF: -1.800 9.60 0.000
PDF: -1.700 9.60 0.000
PDF: -1.600 9.60 0.000
PDF: -1.500 9.60 0.001
PDF: -1.400 9.60 0.002
PDF: -1.300 9.60 0.004
PDF: -1.200 9.60 0.008
PDF: -1.100 9.60 0.016
PDF: -1.000 9.60 0.030
PDF: -0.900 9.60 0.052
PDF: -0.800 9.60 0.088
PDF: -0.700 9.60 0.141
PDF: -0.600 9.60 0.215
PDF: -0.500 9.60 0.311
PDF: -0.400 9.60 0.428
PDF: -0.300 9.60 0.560
PDF: -0.200 9.60 0.696
PDF: -0.100 9.60 0.822
PDF: -0.000 9.60 0.923
PDF: 0.100 9.60 0.986
PDF: 0.200 9.60 1.000
PDF: 0.300 9.60 0.958
PDF: 0.400 9.60 0.865
PDF: 0.500 9.60 0.736
PDF: 0.600 9.60 0.590
PDF: 0.700 9.60 0.445
PDF: 0.800 9.60 0.317
PDF: 0.900 9.60 0.212
PDF: 1.000 9.60 0.134
PDF: 1.100 9.60 0.080
PDF: 1.200 9.60 0.045
PDF: 1.300 9.60 0.023
PDF: 1.400 9.60 0.012
PDF: 1.500 9.60 0.005
PDF: 1.600 9.60 0.002
PDF: 1.700 9.60 0.001
PDF: 1.800 9.60 0.000
PDF: 1.900 9.60 0.000
PDF: 2.000 9.60 0.000
